statename,year,current_value,previous_value,yoy_growth_percent
AK,2001,184934.23,165423.15,11.79%
AK,2002,202347.38,184934.23,9.42%
AK,2003,212729.54,202347.38,5.13%
AK,2004,227259.23,212729.54,6.83%
AK,2005,217800.65,227259.23,-4.16%
AK,2006,235352.74,217800.65,8.06%
AK,2007,248070.23,235352.74,5.4%
AK,2008,252089.48,248070.23,1.62%
AK,2009,250018.26,252089.48,-0.82%
AK,2010,249880.19,250018.26,-0.06%
AK,2011,252210.66,249880.19,0.93%
AK,2012,242181.85,252210.66,-3.98%
AK,2013,249349.4,242181.85,2.96%
AK,2014,254350.32,249349.4,2.01%
AK,2015,264660.6,254350.32,4.05%
AK,2016,268620.26,264660.6,1.5%
AK,2017,271115.43,268620.26,0.93%
AK,2018,277883.59,271115.43,2.5%
AK,2019,294304.93,277883.59,5.91%
AK,2020,307677.2,294304.93,4.54%
AK,2021,326671.21,307677.2,6.17%
AK,2022,348263.86,326671.21,6.61%
AK,2023,346001.9,348263.86,-0.65%
AK,2024,350976.76,346001.9,1.44%
AK,2025,362021.24,350976.76,3.15%
AL,2001,108247.66,98782.31,9.58%
AL,2002,108689.54,108247.66,0.41%
AL,2003,111360.27,108689.54,2.46%
AL,2004,115766.88,111360.27,3.96%
AL,2005,124233.63,115766.88,7.31%
AL,2006,133448.08,124233.63,7.42%
AL,2007,140093.25,133448.08,4.98%
AL,2008,139832.25,140093.25,-0.19%
AL,2009,132821.16,139832.25,-5.01%
AL,2010,126041.73,132821.16,-5.1%
AL,2011,120036.44,126041.73,-4.76%
AL,2012,119318.34,120036.44,-0.6%
AL,2013,125344.21,119318.34,5.05%
AL,2014,129463.5,125344.21,3.29%
AL,2015,130993.83,129463.5,1.18%
AL,2016,134895.73,130993.83,2.98%
AL,2017,138263.14,134895.73,2.5%
AL,2018,143664.88,138263.14,3.91%
AL,2019,150972.47,143664.88,5.09%
AL,2020,162940.45,150972.47,7.93%
AL,2021,184994.12,162940.45,13.53%
AL,2022,206159.8,184994.12,11.44%
AL,2023,207646.2,206159.8,0.72%
AL,2024,211033.41,207646.2,1.63%
AL,2025,213516.05,211033.41,1.18%
AR,2001,92935.41,88479.32,5.04%
AR,2002,95080.11,92935.41,2.31%
AR,2003,98562.99,95080.11,3.66%
AR,2004,104466.4,98562.99,5.99%
AR,2005,112208.25,104466.4,7.41%
AR,2006,120565.29,112208.25,7.45%
AR,2007,124009.62,120565.29,2.86%
AR,2008,123343.48,124009.62,-0.54%
AR,2009,119477.12,123343.48,-3.13%
AR,2010,117219.43,119477.12,-1.89%
AR,2011,114285.58,117219.43,-2.5%
AR,2012,114813.27,114285.58,0.46%
AR,2013,116453.08,114813.27,1.43%
AR,2014,118127.87,116453.08,1.44%
AR,2015,121434.36,118127.87,2.8%
AR,2016,125962.99,121434.36,3.73%
AR,2017,129635.31,125962.99,2.92%
AR,2018,134085.5,129635.31,3.43%
AR,2019,138668.12,134085.5,3.42%
AR,2020,147603.39,138668.12,6.44%
AR,2021,167780.52,147603.39,13.67%
AR,2022,187417.49,167780.52,11.7%
AR,2023,186681.69,187417.49,-0.39%
AR,2024,192734.56,186681.69,3.24%
AR,2025,194992.88,192734.56,1.17%
AZ,2001,151101.98,142191.05,6.27%
AZ,2002,158151.67,151101.98,4.67%
AZ,2003,167232.33,158151.67,5.74%
AZ,2004,183241.04,167232.33,9.57%
AZ,2005,234300.01,183241.04,27.86%
AZ,2006,286550.99,234300.01,22.3%
AZ,2007,282496.8,286550.99,-1.41%
AZ,2008,240011.35,282496.8,-15.04%
AZ,2009,191016.04,240011.35,-20.41%
AZ,2010,172820.59,191016.04,-9.53%
AZ,2011,154886.51,172820.59,-10.38%
AZ,2012,161388.32,154886.51,4.2%
AZ,2013,185162.05,161388.32,14.73%
AZ,2014,203363.0,185162.05,9.83%
AZ,2015,213634.09,203363.0,5.05%
AZ,2016,226825.39,213634.09,6.17%
AZ,2017,239980.62,226825.39,5.8%
AZ,2018,256414.68,239980.62,6.85%
AZ,2019,274731.53,256414.68,7.14%
AZ,2020,299443.82,274731.53,9.0%
AZ,2021,367455.3,299443.82,22.71%
AZ,2022,440410.14,367455.3,19.85%
AZ,2023,429287.22,440410.14,-2.53%
AZ,2024,442853.79,429287.22,3.16%
AZ,2025,440075.81,442853.79,-0.63%
CA,2001,299798.55,266227.78,12.61%
CA,2002,329083.73,299798.55,9.77%
CA,2003,371187.79,329083.73,12.79%
CA,2004,437932.29,371187.79,17.98%
CA,2005,515617.01,437932.29,17.74%
CA,2006,566704.25,515617.01,9.91%
CA,2007,536550.63,566704.25,-5.32%
CA,2008,460025.39,536550.63,-14.26%
CA,2009,385270.77,460025.39,-16.25%
CA,2010,376792.49,385270.77,-2.2%
CA,2011,354093.24,376792.49,-6.02%
CA,2012,351971.46,354093.24,-0.6%
CA,2013,408347.3,351971.46,16.02%
CA,2014,464574.04,408347.3,13.77%
CA,2015,505073.19,464574.04,8.72%
CA,2016,533632.96,505073.19,5.65%
CA,2017,570761.55,533632.96,6.96%
CA,2018,630436.64,570761.55,10.46%
CA,2019,641059.95,630436.64,1.69%
CA,2020,665339.21,641059.95,3.79%
CA,2021,762417.99,665339.21,14.59%
CA,2022,862222.78,762417.99,13.09%
CA,2023,838423.24,862222.78,-2.76%
CA,2024,871051.49,838423.24,3.89%
CA,2025,874529.25,871051.49,0.4%
CO,2001,214173.81,193142.13,10.89%
CO,2002,223871.12,214173.81,4.53%
CO,2003,227503.57,223871.12,1.62%
CO,2004,232511.05,227503.57,2.2%
CO,2005,243057.17,232511.05,4.54%
CO,2006,259212.34,243057.17,6.65%
CO,2007,263782.69,259212.34,1.76%
CO,2008,260168.11,263782.69,-1.37%
CO,2009,243999.59,260168.11,-6.21%
CO,2010,237883.28,243999.59,-2.51%
CO,2011,228393.57,237883.28,-3.99%
CO,2012,231369.37,228393.57,1.3%
CO,2013,246596.72,231369.37,6.58%
CO,2014,263362.9,246596.72,6.8%
CO,2015,286786.28,263362.9,8.89%
CO,2016,309174.94,286786.28,7.81%
CO,2017,333021.17,309174.94,7.71%
CO,2018,358458.6,333021.17,7.64%
CO,2019,379319.67,358458.6,5.82%
CO,2020,403035.2,379319.67,6.25%
CO,2021,476784.26,403035.2,18.3%
CO,2022,551960.58,476784.26,15.77%
CO,2023,542187.46,551960.58,-1.77%
CO,2024,553614.2,542187.46,2.11%
CO,2025,558253.01,553614.2,0.84%
CT,2001,204769.37,187688.17,9.1%
CT,2002,225333.02,204769.37,10.04%
CT,2003,251737.94,225333.02,11.72%
CT,2004,280506.99,251737.94,11.43%
CT,2005,316485.81,280506.99,12.83%
CT,2006,339388.04,316485.81,7.24%
CT,2007,337871.03,339388.04,-0.45%
