year,avg_home_value,min_home_value,max_home_value,median_home_value,num_regions
2000,152568.05,4008.0,2242459.0,125372.0,13171
2001,166017.68,4249.0,2807303.0,133407.0,13619
2002,177592.0,4437.0,2964474.0,140680.0,14078
2003,191706.67,4655.0,3091989.0,149392.0,14574
2004,210502.85,4839.0,3272385.0,159905.0,14893
2005,236009.27,5102.0,3587927.0,175471.0,15296
2006,256011.91,5570.0,3648545.0,189674.0,15506
2007,254681.99,5894.0,3657990.0,191641.0,15877
2008,237310.16,5978.0,3497409.0,182991.0,16342
2009,205865.89,6240.0,3091905.0,159020.0,18813
2010,198272.04,6412.0,3023399.0,152751.0,19117
2011,188444.47,6570.0,2995834.0,145484.0,19425
2012,184483.26,7087.0,3270011.0,142957.0,20829
2013,194735.19,7991.0,3917534.0,148606.0,21267
2014,206839.55,10551.0,4465736.0,155513.0,21587
2015,216676.5,11829.0,5172440.0,161332.0,21919
2016,222502.06,13099.0,5558684.0,164714.0,23356
2017,232590.96,15289.0,5662781.0,171987.0,23679
2018,246077.18,16500.0,6132439.0,181680.5,23998
2019,253179.41,15844.0,5951816.0,189353.5,24656
2020,267302.27,16759.0,6277357.0,202824.0,24750
2021,306067.42,23794.0,7090064.0,231788.0,25053
2022,343316.28,26592.0,8058418.0,259155.5,25792
2023,345975.94,23901.0,7581620.0,266062.0,26200
2024,359392.66,24836.0,7550052.0,276556.0,26314
2025,365753.79,26302.0,7669379.0,282983.0,26314
