"state","year","state_avg_rent"
"AK",2015,"1260.34"
"AK",2016,"1246.29"
"AK",2017,"1230.30"
"AK",2018,"1237.07"
"AK",2019,"1251.54"
"AK",2020,"1278.90"
"AK",2021,"1418.34"
"AK",2022,"1532.42"
"AK",2023,"1625.31"
"AK",2024,"1690.21"
"AK",2025,"1859.65"
"AL",2015,"849.47"
"AL",2016,"899.00"
"AL",2017,"927.94"
"AL",2018,"958.85"
"AL",2019,"1000.59"
"AL",2020,"1014.38"
"AL",2021,"1121.89"
"AL",2022,"1212.15"
"AL",2023,"1245.98"
"AL",2024,"1296.23"
"AL",2025,"1345.13"
"AR",2015,"776.91"
"AR",2016,"808.71"
"AR",2017,"830.14"
"AR",2018,"847.57"
"AR",2019,"872.85"
"AR",2020,"907.51"
"AR",2021,"1000.87"
"AR",2022,"1089.28"
"AR",2023,"1128.49"
"AR",2024,"1121.36"
"AR",2025,"1100.05"
"AZ",2015,"899.78"
"AZ",2016,"944.76"
"AZ",2017,"1003.14"
"AZ",2018,"1146.15"
"AZ",2019,"1214.54"
"AZ",2020,"1293.56"
"AZ",2021,"1405.84"
"AZ",2022,"1555.09"
"AZ",2023,"1604.31"
"AZ",2024,"1641.05"
"AZ",2025,"1664.82"
"CA",2015,"1466.90"
"CA",2016,"1582.01"
"CA",2017,"1672.85"
"CA",2018,"1763.97"
"CA",2019,"1841.38"
"CA",2020,"1903.64"
"CA",2021,"2050.74"
"CA",2022,"2197.60"
"CA",2023,"2215.29"
"CA",2024,"2275.46"
"CA",2025,"2302.30"
"CO",2015,"1122.28"
"CO",2016,"1336.09"
"CO",2017,"1409.33"
"CO",2018,"1489.85"
"CO",2019,"1568.81"
"CO",2020,"1637.69"
"CO",2021,"1796.49"
"CO",2022,"2026.43"
"CO",2023,"2133.12"
"CO",2024,"2327.82"
"CO",2025,"2467.36"
"CT",2015,"1207.78"
"CT",2016,"1236.84"
"CT",2017,"1271.06"
"CT",2018,"1311.25"
"CT",2019,"1354.90"
"CT",2020,"1432.91"
"CT",2021,"1581.63"
"CT",2022,"1746.34"
"CT",2023,"1874.73"
"CT",2024,"2008.43"
"CT",2025,"2108.91"
"DE",2015,"1088.53"
"DE",2016,"1113.43"
"DE",2017,"1135.81"
"DE",2018,"1170.82"
"DE",2019,"1209.39"
"DE",2020,"1267.06"
"DE",2021,"1445.76"
"DE",2022,"1592.52"
"DE",2023,"1671.92"
"DE",2024,"1738.62"
"DE",2025,"1798.86"
"FL",2015,"1077.99"
"FL",2016,"1119.71"
"FL",2017,"1210.34"
"FL",2018,"1270.68"
"FL",2019,"1342.36"
"FL",2020,"1398.62"
"FL",2021,"1613.26"
"FL",2022,"1881.35"
"FL",2023,"1910.52"
"FL",2024,"1938.52"
"FL",2025,"1965.40"
"GA",2015,"907.08"
"GA",2016,"913.95"
"GA",2017,"924.77"
"GA",2018,"968.55"
"GA",2019,"1018.75"
"GA",2020,"1067.55"
"GA",2021,"1195.79"
"GA",2022,"1366.01"
"GA",2023,"1428.56"
"GA",2024,"1475.34"
"GA",2025,"1457.89"
"HI",2015,"1999.52"
"HI",2016,"2038.57"
"HI",2017,"2081.00"
"HI",2018,"2118.15"
"HI",2019,"2168.78"
"HI",2020,"2192.65"
"HI",2021,"2299.81"
"HI",2022,"2540.88"
"HI",2023,"2682.31"
"HI",2024,"2854.28"
"HI",2025,"2922.03"
"IA",2015,"977.62"
"IA",2016,"904.85"
"IA",2017,"912.16"
"IA",2018,"924.04"
"IA",2019,"941.58"
"IA",2020,"961.85"
"IA",2021,"968.23"
"IA",2022,"1014.52"
"IA",2023,"1067.38"
"IA",2024,"1093.33"
"IA",2025,"1028.88"
"ID",2015,"789.81"
"ID",2016,"835.07"
"ID",2017,"939.38"
"ID",2018,"1009.58"
"ID",2019,"1082.55"
"ID",2020,"1169.12"
"ID",2021,"1305.97"
"ID",2022,"1358.84"
"ID",2023,"1377.15"
"ID",2024,"1384.49"
"ID",2025,"1603.84"
"IL",2015,"881.24"
"IL",2016,"861.91"
"IL",2017,"842.18"
"IL",2018,"860.19"
"IL",2019,"886.98"
"IL",2020,"915.63"
"IL",2021,"972.17"
"IL",2022,"1025.78"
"IL",2023,"1073.93"
"IL",2024,"1114.61"
"IL",2025,"1090.62"
"IN",2015,"807.05"
"IN",2016,"827.36"
"IN",2017,"787.68"
"IN",2018,"833.54"
"IN",2019,"869.63"
"IN",2020,"907.69"
"IN",2021,"951.18"
"IN",2022,"1027.52"
"IN",2023,"1091.11"
"IN",2024,"1137.76"
"IN",2025,"1095.96"
"KS",2015,"815.31"
"KS",2016,"849.63"
"KS",2017,"801.41"
"KS",2018,"818.62"
"KS",2019,"838.97"
"KS",2020,"866.46"
"KS",2021,"912.79"
"KS",2022,"989.69"
"KS",2023,"1043.22"
"KS",2024,"1100.84"
"KS",2025,"1030.46"
"KY",2015,"849.70"
"KY",2016,"883.94"
"KY",2017,"927.97"
"KY",2018,"944.27"
"KY",2019,"915.60"
"KY",2020,"901.26"
"KY",2021,"965.48"
"KY",2022,"1070.70"
"KY",2023,"1156.98"
"KY",2024,"1207.80"
"KY",2025,"1177.74"
"LA",2015,"1055.76"
"LA",2016,"1018.46"
"LA",2017,"1040.35"
"LA",2018,"1050.89"
"LA",2019,"1056.95"
"LA",2020,"1073.93"
"LA",2021,"1129.81"
"LA",2022,"1148.29"
"LA",2023,"1146.77"
"LA",2024,"1176.37"
"LA",2025,"1191.74"
"MA",2015,"1383.16"
"MA",2016,"1440.54"
"MA",2017,"1497.25"
"MA",2018,"1562.42"
"MA",2019,"1617.05"
"MA",2020,"1700.92"
"MA",2021,"1711.79"
"MA",2022,"1892.43"
"MA",2023,"2038.48"
"MA",2024,"2145.69"
"MA",2025,"2239.83"
"MD",2015,"1130.85"
"MD",2016,"1148.76"
"MD",2017,"1174.64"
"MD",2018,"1204.30"
"MD",2019,"1238.24"
"MD",2020,"1289.36"
"MD",2021,"1419.89"
"MD",2022,"1537.29"
"MD",2023,"1411.97"
"MD",2024,"1489.90"
"MD",2025,"1663.09"
"ME",2015,"1251.48"
"ME",2016,"1050.17"
"ME",2017,"1033.40"
"ME",2018,"1080.50"
"ME",2019,"1132.87"
"ME",2020,"1209.07"
"ME",2021,"1349.90"
"ME",2022,"1458.36"
"ME",2023,"1543.25"
"ME",2024,"1633.37"
"ME",2025,"1710.67"
"MI",2015,"880.47"
"MI",2016,"875.96"
"MI",2017,"920.97"
"MI",2018,"976.23"
"MI",2019,"1018.22"
"MI",2020,"1060.19"
"MI",2021,"1104.18"
"MI",2022,"1216.10"
"MI",2023,"1237.72"
"MI",2024,"1293.40"
"MI",2025,"1349.28"
"MN",2015,"976.58"
"MN",2016,"1004.99"
"MN",2017,"996.93"
"MN",2018,"1026.18"
"MN",2019,"1061.68"
"MN",2020,"1090.75"
"MN",2021,"1140.34"
"MN",2022,"1156.36"
"MN",2023,"1125.18"
