state,year,yoy_growth_pct
AK,2016,-1.11
AK,2017,-1.28
AK,2018,0.55
AK,2019,1.17
AK,2020,2.19
AK,2021,9.51
AK,2022,9.41
AK,2023,6.06
AK,2024,3.99
AK,2025,7.72
AL,2016,5.01
AL,2017,4.01
AL,2018,3.33
AL,2019,4.35
AL,2020,4.37
AL,2021,7.43
AL,2022,8.85
AL,2023,2.32
AL,2024,4.61
AL,2025,2.91
AR,2016,2.33
AR,2017,2.80
AR,2018,2.10
AR,2019,2.98
AR,2020,3.97
AR,2021,9.78
AR,2022,9.33
AR,2023,3.79
AR,2024,0.58
AR,2025,1.49
AZ,2016,5.00
AZ,2017,6.18
AZ,2018,13.74
AZ,2019,6.45
AZ,2020,6.51
AZ,2021,14.90
AZ,2022,4.63
AZ,2023,3.17
AZ,2024,2.29
AZ,2025,2.34
CA,2016,4.88
CA,2017,6.21
CA,2018,5.34
CA,2019,4.39
CA,2020,3.06
CA,2021,9.18
CA,2022,7.02
CA,2023,0.42
CA,2024,2.63
CA,2025,2.70
CO,2016,15.52
CO,2017,6.42
CO,2018,6.73
CO,2019,5.30
CO,2020,4.39
CO,2021,9.70
CO,2022,12.80
CO,2023,7.31
CO,2024,6.97
CO,2025,5.73
CT,2016,2.41
CT,2017,2.77
CT,2018,3.16
CT,2019,3.33
CT,2020,5.76
CT,2021,10.38
CT,2022,10.41
CT,2023,7.35
CT,2024,7.13
CT,2025,5.00
DE,2016,2.29
DE,2017,2.01
DE,2018,3.08
DE,2019,3.29
DE,2020,4.77
DE,2021,14.10
DE,2022,10.15
DE,2023,4.99
DE,2024,3.99
DE,2025,3.46
FL,2016,4.19
FL,2017,5.70
FL,2018,7.14
FL,2019,5.53
FL,2020,4.19
FL,2021,15.12
FL,2022,16.85
FL,2023,3.29
FL,2024,-0.24
FL,2025,1.33
GA,2016,1.58
GA,2017,0.33
GA,2018,4.73
GA,2019,5.18
GA,2020,5.05
GA,2021,12.34
GA,2022,13.67
GA,2023,5.08
GA,2024,3.32
GA,2025,0.91
HI,2016,1.95
HI,2017,2.08
HI,2018,1.79
HI,2019,2.39
HI,2020,0.71
HI,2021,10.33
HI,2022,5.44
HI,2023,5.57
HI,2024,6.41
HI,2025,2.35
IA,2016,6.08
IA,2017,-0.38
IA,2018,-0.02
IA,2019,1.90
IA,2020,2.15
IA,2021,3.78
IA,2022,2.11
IA,2023,4.72
IA,2024,3.36
IA,2025,-1.74
ID,2016,5.73
ID,2017,12.19
ID,2018,7.76
ID,2019,7.23
ID,2020,8.00
ID,2021,12.33
ID,2022,3.36
ID,2023,1.45
ID,2024,-0.01
ID,2025,14.08
IL,2016,-1.56
IL,2017,-0.99
IL,2018,-1.14
IL,2019,3.14
IL,2020,3.20
IL,2021,6.12
IL,2022,7.46
IL,2023,2.85
IL,2024,5.02
IL,2025,-1.95
IN,2016,2.98
IN,2017,-1.49
IN,2018,1.75
IN,2019,4.86
IN,2020,4.38
IN,2021,5.80
IN,2022,9.28
IN,2023,4.34
IN,2024,4.01
IN,2025,1.11
KS,2016,1.35
KS,2017,-1.00
KS,2018,0.07
KS,2019,2.49
KS,2020,3.28
KS,2021,5.35
KS,2022,8.98
KS,2023,5.21
KS,2024,5.19
KS,2025,-3.06
KY,2016,4.03
KY,2017,4.60
KY,2018,2.13
KY,2019,-3.04
KY,2020,0.91
KY,2021,4.50
KY,2022,10.90
KY,2023,8.05
KY,2024,5.34
KY,2025,0.58
LA,2016,-2.61
LA,2017,1.19
LA,2018,1.01
LA,2019,0.58
LA,2020,1.89
LA,2021,6.33
LA,2022,0.93
LA,2023,-0.13
LA,2024,1.92
LA,2025,2.63
MA,2016,3.47
MA,2017,3.94
MA,2018,4.35
MA,2019,3.59
MA,2020,3.51
MA,2021,2.77
MA,2022,10.41
MA,2023,7.23
MA,2024,5.26
MA,2025,4.39
MD,2016,1.58
MD,2017,2.25
MD,2018,2.53
MD,2019,2.82
MD,2020,4.13
MD,2021,10.12
MD,2022,8.27
MD,2023,-7.34
MD,2024,4.59
MD,2025,12.19
ME,2016,-11.57
ME,2017,-2.66
ME,2018,0.30
ME,2019,4.85
ME,2020,6.73
ME,2021,11.65
ME,2022,10.71
ME,2023,3.50
ME,2024,5.60
ME,2025,4.73
MI,2016,1.03
MI,2017,3.53
MI,2018,5.49
MI,2019,4.81
MI,2020,4.12
MI,2021,4.95
MI,2022,9.39
MI,2023,3.29
MI,2024,3.74
MI,2025,2.95
MN,2016,0.00
MN,2017,3.16
MN,2018,-1.02
MN,2019,3.46
MN,2020,2.74
MN,2021,4.55
MN,2022,4.80
MN,2023,-4.29
MN,2024,4.63
MN,2025,1.84
MO,2016,2.57
MO,2017,3.02
MO,2018,0.26
MO,2019,3.89
MO,2020,4.59
MO,2021,6.02
MO,2022,4.37
MO,2023,-0.29
MO,2024,4.02
MO,2025,4.27
MS,2016,11.22
MS,2017,3.88
MS,2018,2.94
MS,2019,2.93
MS,2020,4.86
MS,2021,9.87
MS,2022,4.69
MS,2023,7.02
MS,2024,4.91
MS,2025,4.70
MT,2016,2.48
MT,2017,-0.45
MT,2018,-0.20
MT,2019,3.75
MT,2020,5.33
MT,2021,37.00
MT,2022,23.17
MT,2023,-0.01
MT,2024,2.67
MT,2025,2.68
NC,2016,1.84
