state,rent_growth_pct,home_growth_pct,correlation_coef
CO,119.85,94.66,0.613
ID,103.07,144.56,0.613
NM,100.93,54.55,0.613
MT,97.9,95.39,0.613
RI,93.27,107.45,0.613
AZ,85.03,106.0,0.613
NH,83.74,119.23,0.613
UT,83.41,113.74,0.613
FL,82.32,112.16,0.613
CT,74.61,70.59,0.613
NV,73.05,102.05,0.613
MS,66.39,30.86,0.613
WY,66.25,84.98,0.613
WA,65.42,114.46,0.613
DE,65.26,69.16,0.613
MA,61.94,80.04,0.613
GA,60.72,92.48,0.613
NC,60.04,94.43,0.613
OR,58.59,91.25,0.613
NJ,58.52,75.95,0.613
AL,58.35,63.0,0.613
SC,56.97,88.24,0.613
CA,56.95,73.15,0.613
TN,55.52,107.17,0.613
MI,53.25,86.77,0.613
OH,51.76,85.44,0.613
AK,47.55,36.79,0.613
MD,47.07,52.38,0.613
HI,46.14,62.7,0.613
TX,42.79,67.86,0.613
AR,41.59,60.57,0.613
VA,40.83,58.04,0.613
NE,39.21,67.49,0.613
KY,38.61,70.57,0.613
PA,37.67,57.55,0.613
MO,37.06,78.84,0.613
ME,36.69,104.31,0.613
IN,35.8,99.43,0.613
OK,34.66,71.51,0.613
KS,26.39,53.35,0.613
NY,25.63,59.75,0.613
IL,23.76,37.96,0.613
MN,21.5,70.87,0.613
LA,12.88,11.94,0.613
WI,12.32,85.96,0.613
IA,5.24,50.68,0.613
SD,0.0,70.76,0.613
VT,0.0,64.45,0.613
WV,0.0,36.14,0.613
ND,0.0,9.68,0.613
