state,year,yearly_avg_rent
AK,2015,1260.34
AK,2016,1246.29
AK,2017,1230.30
AK,2018,1237.07
AK,2019,1251.53
AK,2020,1278.90
AK,2021,1400.57
AK,2022,1532.41
AK,2023,1625.30
AK,2024,1690.20
AK,2025,1820.64
AL,2015,849.57
AL,2016,892.16
AL,2017,927.94
AL,2018,958.85
AL,2019,1000.59
AL,2020,1044.29
AL,2021,1121.89
AL,2022,1221.13
AL,2023,1249.49
AL,2024,1307.05
AL,2025,1345.13
AR,2015,789.14
AR,2016,807.51
AR,2017,830.14
AR,2018,847.57
AR,2019,872.85
AR,2020,907.50
AR,2021,996.28
AR,2022,1089.28
AR,2023,1130.54
AR,2024,1137.12
AR,2025,1154.11
AZ,2015,899.78
AZ,2016,944.76
AZ,2017,1003.14
AZ,2018,1141.01
AZ,2019,1214.55
AZ,2020,1293.56
AZ,2021,1486.27
AZ,2022,1555.09
AZ,2023,1604.31
AZ,2024,1641.05
AZ,2025,1679.46
CA,2015,1503.28
CA,2016,1576.65
CA,2017,1674.50
CA,2018,1763.97
CA,2019,1841.38
CA,2020,1897.65
CA,2021,2071.87
CA,2022,2217.22
CA,2023,2226.45
CA,2024,2284.98
CA,2025,2346.69
CO,2015,1135.45
CO,2016,1311.66
CO,2017,1395.86
CO,2018,1489.84
CO,2019,1568.81
CO,2020,1637.69
CO,2021,1796.49
CO,2022,2026.43
CO,2023,2174.53
CO,2024,2326.14
CO,2025,2459.54
CT,2015,1207.78
CT,2016,1236.85
CT,2017,1271.06
CT,2018,1311.25
CT,2019,1354.90
CT,2020,1432.91
CT,2021,1581.63
CT,2022,1746.34
CT,2023,1874.73
CT,2024,2008.43
CT,2025,2108.91
DE,2015,1088.53
DE,2016,1113.43
DE,2017,1135.81
DE,2018,1170.81
DE,2019,1209.38
DE,2020,1267.05
DE,2021,1445.75
DE,2022,1592.52
DE,2023,1671.91
DE,2024,1738.62
DE,2025,1798.86
FL,2015,1077.99
FL,2016,1123.13
FL,2017,1187.18
FL,2018,1271.97
FL,2019,1342.36
FL,2020,1398.62
FL,2021,1610.04
FL,2022,1881.35
FL,2023,1943.24
FL,2024,1938.52
FL,2025,1964.39
GA,2015,907.38
GA,2016,921.72
GA,2017,924.77
GA,2018,968.55
GA,2019,1018.75
GA,2020,1070.17
GA,2021,1202.27
GA,2022,1366.60
GA,2023,1435.98
GA,2024,1483.71
GA,2025,1497.20
HI,2015,1999.52
HI,2016,2038.57
HI,2017,2081.00
HI,2018,2118.15
HI,2019,2168.78
HI,2020,2184.15
HI,2021,2409.84
HI,2022,2540.88
HI,2023,2682.30
HI,2024,2854.28
HI,2025,2921.34
IA,2015,874.55
IA,2016,927.74
IA,2017,924.19
IA,2018,924.04
IA,2019,941.58
IA,2020,961.85
IA,2021,998.17
IA,2022,1019.23
IA,2023,1067.38
IA,2024,1103.26
IA,2025,1084.10
ID,2015,789.81
ID,2016,835.07
ID,2017,936.89
ID,2018,1009.58
ID,2019,1082.55
ID,2020,1169.12
ID,2021,1313.30
ID,2022,1357.44
ID,2023,1377.15
ID,2024,1377.06
ID,2025,1570.94
IL,2015,892.67
IL,2016,878.76
IL,2017,870.08
IL,2018,860.19
IL,2019,887.21
IL,2020,915.63
IL,2021,971.70
IL,2022,1044.21
IL,2023,1073.93
IL,2024,1127.89
IL,2025,1105.87
IN,2015,803.39
IN,2016,827.36
IN,2017,815.07
IN,2018,829.31
IN,2019,869.63
IN,2020,907.69
IN,2021,960.34
IN,2022,1049.44
IN,2023,1094.96
IN,2024,1138.90
IN,2025,1151.53
KS,2015,815.31
KS,2016,826.31
KS,2017,818.04
KS,2018,818.62
KS,2019,838.97
KS,2020,866.45
KS,2021,912.79
KS,2022,994.77
KS,2023,1046.57
KS,2024,1100.84
KS,2025,1067.14
KY,2015,849.70
KY,2016,883.93
KY,2017,924.61
KY,2018,944.27
KY,2019,915.60
KY,2020,923.90
KY,2021,965.48
KY,2022,1070.70
KY,2023,1156.87
KY,2024,1218.60
KY,2025,1225.66
LA,2015,1055.76
LA,2016,1028.16
LA,2017,1040.35
LA,2018,1050.89
LA,2019,1056.95
LA,2020,1076.91
LA,2021,1145.11
LA,2022,1155.71
LA,2023,1154.21
LA,2024,1176.37
LA,2025,1207.35
MA,2015,1392.26
MA,2016,1440.54
MA,2017,1497.25
MA,2018,1562.42
MA,2019,1618.51
MA,2020,1675.36
MA,2021,1721.77
MA,2022,1901.07
MA,2023,2038.48
MA,2024,2145.69
MA,2025,2239.83
MD,2015,1130.85
MD,2016,1148.76
MD,2017,1174.64
MD,2018,1204.30
MD,2019,1238.24
MD,2020,1289.36
MD,2021,1419.89
MD,2022,1537.29
MD,2023,1424.48
MD,2024,1489.90
MD,2025,1671.50
ME,2015,1251.48
ME,2016,1106.74
ME,2017,1077.27
ME,2018,1080.50
ME,2019,1132.87
ME,2020,1209.07
ME,2021,1349.90
ME,2022,1494.47
ME,2023,1546.79
ME,2024,1633.37
ME,2025,1710.66
MI,2015,880.47
MI,2016,889.56
MI,2017,920.97
MI,2018,971.51
MI,2019,1018.22
MI,2020,1060.19
MI,2021,1112.66
MI,2022,1217.17
MI,2023,1257.22
MI,2024,1304.20
MI,2025,1342.62
MN,2015,1004.98
MN,2016,1004.99
MN,2017,1036.79
MN,2018,1026.18
MN,2019,1061.68
MN,2020,1090.75
MN,2021,1140.34
MN,2022,1195.04
MN,2023,1143.78
MN,2024,1196.79
MN,2025,1218.83
MO,2015,801.55
MO,2016,822.14
MO,2017,846.96
MO,2018,849.19
MO,2019,882.26
MO,2020,922.74
MO,2021,978.32
MO,2022,1021.12
MO,2023,1018.18
MO,2024,1059.15
MO,2025,1104.35
MS,2015,818.55
MS,2016,910.42
MS,2017,945.78
MS,2018,973.62
MS,2019,1002.11
MS,2020,1050.83
MS,2021,1154.50
MS,2022,1208.61
MS,2023,1293.41
MS,2024,1356.95
MS,2025,1420.66
MT,2015,812.48
MT,2016,832.63
MT,2017,828.85
MT,2018,827.19
MT,2019,858.22
MT,2020,904.00
MT,2021,1238.44
MT,2022,1525.41
MT,2023,1525.23
MT,2024,1565.95
MT,2025,1607.88
NC,2015,951.43
NC,2016,968.97
NC,2017,1004.86
NC,2018,1049.96
NC,2019,1105.16
NC,2020,1156.45
NC,2021,1278.06
NC,2022,1429.20
NC,2023,1463.91
NC,2024,1502.99
NC,2025,1515.11
ND,2016,871.82
ND,2017,920.01
ND,2018,953.31
ND,2019,973.24
ND,2020,979.09
ND,2021,942.97
ND,2022,992.45
ND,2023,1089.62
ND,2024,1154.32
ND,2025,1173.06
NE,2015,867.65
NE,2016,859.84
NE,2017,887.38
NE,2018,916.93
NE,2019,944.99
NE,2020,982.36
NE,2021,1029.11
NE,2022,1002.48
NE,2023,1070.82
NE,2024,1181.49
NE,2025,1224.48
NH,2015,1110.58
NH,2016,1092.19
NH,2017,1145.91
NH,2018,1207.10
