StateName,year,avg_inventory
AK,2018,743
AK,2019,710
AK,2020,583
AK,2021,443
AK,2022,362
AK,2023,304
AK,2024,323
AK,2025,349
AL,2018,1332
AL,2019,1181
AL,2020,956
AL,2021,590
AL,2022,582
AL,2023,615
AL,2024,751
AL,2025,879
AR,2018,773
AR,2019,705
AR,2020,532
AR,2021,434
AR,2022,456
AR,2023,457
AR,2024,481
AR,2025,559
AZ,2018,3637
AZ,2019,3386
AZ,2020,2681
AZ,2021,2232
AZ,2022,2583
AZ,2023,2387
AZ,2024,2626
AZ,2025,3298
CA,2018,3078
CA,2019,3114
CA,2020,2421
CA,2021,2075
CA,2022,2119
CA,2023,1781
CA,2024,2040
CA,2025,2537
CO,2018,1537
CO,2019,1566
CO,2020,1300
CO,2021,1023
CO,2022,1112
CO,2023,1153
CO,2024,1343
CO,2025,1659
CT,2018,4034
CT,2019,3717
CT,2020,2891
CT,2021,2045
CT,2022,1523
CT,2023,1200
CT,2024,1249
CT,2025,1284
DE,2018,2908
DE,2019,2451
DE,2020,1789
DE,2021,1186
DE,2022,1050
DE,2023,1038
DE,2024,1299
DE,2025,1583
FL,2018,5774
FL,2019,5924
FL,2020,5125
FL,2021,3661
FL,2022,3508
FL,2023,4187
FL,2024,5741
FL,2025,6851
GA,2018,1390
GA,2019,1422
GA,2020,1211
GA,2021,917
GA,2022,910
GA,2023,858
GA,2024,1046
GA,2025,1269
HI,2018,2008
HI,2019,2143
HI,2020,1942
HI,2021,1278
HI,2022,1078
HI,2023,1117
HI,2024,1421
HI,2025,1818
IA,2018,641
IA,2019,610
IA,2020,544
IA,2021,362
IA,2022,330
IA,2023,300
IA,2024,316
IA,2025,373
ID,2018,723
ID,2019,669
ID,2020,516
ID,2021,377
ID,2022,468
ID,2023,464
ID,2024,492
ID,2025,547
IL,2018,2348
IL,2019,2309
IL,2020,1949
IL,2021,1663
IL,2022,1345
IL,2023,1094
IL,2024,1082
IL,2025,1065
IN,2018,604
IN,2019,561
IN,2020,442
IN,2021,358
IN,2022,364
IN,2023,342
IN,2024,390
IN,2025,434
KS,2018,425
KS,2019,388
KS,2020,293
KS,2021,234
KS,2022,211
KS,2023,209
KS,2024,223
KS,2025,264
KY,2018,762
KY,2019,728
KY,2020,557
KY,2021,447
KY,2022,441
KY,2023,411
KY,2024,443
KY,2025,502
LA,2018,1260
LA,2019,1212
LA,2020,968
LA,2021,700
LA,2022,657
LA,2023,731
LA,2024,849
LA,2025,945
MA,2018,4010
MA,2019,4003
MA,2020,3126
MA,2021,2548
MA,2022,2353
MA,2023,1935
MA,2024,2121
MA,2025,2391
MD,2018,2782
MD,2019,2568
MD,2020,1913
MD,2021,1599
MD,2022,1431
MD,2023,1188
MD,2024,1277
MD,2025,1468
ME,2018,1385
ME,2019,1366
ME,2020,1042
ME,2021,722
ME,2022,610
ME,2023,553
ME,2024,629
ME,2025,697
MI,2018,1375
MI,2019,1347
MI,2020,1075
MI,2021,903
MI,2022,874
MI,2023,751
MI,2024,764
MI,2025,797
MN,2018,1081
MN,2019,1018
MN,2020,873
MN,2021,671
MN,2022,616
MN,2023,539
MN,2024,593
MN,2025,635
MO,2018,1536
MO,2019,1349
MO,2020,1063
MO,2021,843
MO,2022,789
MO,2023,731
MO,2024,784
MO,2025,858
MS,2018,569
MS,2019,539
MS,2020,443
MS,2021,312
MS,2022,290
MS,2023,313
MS,2024,351
MS,2025,377
MT,2018,790
MT,2019,753
MT,2020,564
MT,2021,377
MT,2022,401
MT,2023,482
MT,2024,572
MT,2025,586
NC,2018,1327
NC,2019,1182
NC,2020,912
NC,2021,751
NC,2022,778
NC,2023,774
NC,2024,881
NC,2025,1069
ND,2018,544
ND,2019,515
ND,2020,429
ND,2021,315
ND,2022,268
ND,2023,241
ND,2024,254
ND,2025,249
NE,2018,539
NE,2019,512
NE,2020,391
NE,2021,330
NE,2022,319
NE,2023,302
NE,2024,333
NE,2025,380
NH,2018,1129
NH,2019,1086
NH,2020,772
NH,2021,412
NH,2022,362
NH,2023,313
NH,2024,361
NH,2025,415
NJ,2018,2165
NJ,2019,2001
NJ,2020,1482
NJ,2021,1102
NJ,2022,898
NJ,2023,705
NJ,2024,747
NJ,2025,853
NM,2018,591
NM,2019,516
NM,2020,403
NM,2021,309
NM,2022,275
NM,2023,269
NM,2024,321
NM,2025,375
NV,2018,1792
NV,2019,2086
NV,2020,1685
NV,2021,1250
