statename,year,avg_inventory,yoy_growth_percent
AK,2019,710,-4.44%
AK,2020,583,-17.89%
AK,2021,443,-24.01%
AK,2022,362,-18.28%
AK,2023,304,-16.02%
AK,2024,323,6.25%
AK,2025,349,8.05%
AL,2019,1181,-11.34%
AL,2020,956,-19.05%
AL,2021,590,-38.28%
AL,2022,582,-1.36%
AL,2023,615,5.67%
AL,2024,751,22.11%
AL,2025,879,17.04%
AR,2019,705,-8.80%
AR,2020,532,-24.54%
AR,2021,434,-18.42%
AR,2022,456,5.07%
AR,2023,457,0.22%
AR,2024,481,5.25%
AR,2025,559,16.22%
AZ,2019,3386,-6.90%
AZ,2020,2681,-20.82%
AZ,2021,2232,-16.75%
AZ,2022,2583,15.73%
AZ,2023,2387,-7.59%
AZ,2024,2626,10.01%
AZ,2025,3298,25.59%
CA,2019,3114,1.17%
CA,2020,2421,-22.25%
CA,2021,2075,-14.29%
CA,2022,2119,2.12%
CA,2023,1781,-15.95%
CA,2024,2040,14.54%
CA,2025,2537,24.36%
CO,2019,1566,1.89%
CO,2020,1300,-16.99%
CO,2021,1023,-21.31%
CO,2022,1112,8.70%
CO,2023,1153,3.69%
CO,2024,1343,16.48%
CO,2025,1659,23.53%
CT,2019,3717,-7.86%
CT,2020,2891,-22.22%
CT,2021,2045,-29.26%
CT,2022,1523,-25.53%
CT,2023,1200,-21.21%
CT,2024,1249,4.08%
CT,2025,1284,2.80%
DE,2019,2451,-15.72%
DE,2020,1789,-27.01%
DE,2021,1186,-33.71%
DE,2022,1050,-11.47%
DE,2023,1038,-1.14%
DE,2024,1299,25.14%
DE,2025,1583,21.86%
FL,2019,5924,2.60%
FL,2020,5125,-13.49%
FL,2021,3661,-28.57%
FL,2022,3508,-4.18%
FL,2023,4187,19.36%
FL,2024,5741,37.11%
FL,2025,6851,19.33%
GA,2019,1422,2.30%
GA,2020,1211,-14.84%
GA,2021,917,-24.28%
GA,2022,910,-0.76%
GA,2023,858,-5.71%
GA,2024,1046,21.91%
GA,2025,1269,21.32%
HI,2019,2143,6.72%
HI,2020,1942,-9.38%
HI,2021,1278,-34.19%
HI,2022,1078,-15.65%
HI,2023,1117,3.62%
HI,2024,1421,27.22%
HI,2025,1818,27.94%
IA,2019,610,-4.84%
IA,2020,544,-10.82%
IA,2021,362,-33.46%
IA,2022,330,-8.84%
IA,2023,300,-9.09%
IA,2024,316,5.33%
IA,2025,373,18.04%
ID,2019,669,-7.47%
ID,2020,516,-22.87%
ID,2021,377,-26.94%
ID,2022,468,24.14%
ID,2023,464,-0.85%
ID,2024,492,6.03%
ID,2025,547,11.18%
IL,2019,2309,-1.66%
IL,2020,1949,-15.59%
IL,2021,1663,-14.67%
IL,2022,1345,-19.12%
IL,2023,1094,-18.66%
IL,2024,1082,-1.10%
IL,2025,1065,-1.57%
IN,2019,561,-7.12%
IN,2020,442,-21.21%
IN,2021,358,-19.00%
IN,2022,364,1.68%
IN,2023,342,-6.04%
IN,2024,390,14.04%
IN,2025,434,11.28%
KS,2019,388,-8.71%
KS,2020,293,-24.48%
KS,2021,234,-20.14%
KS,2022,211,-9.83%
KS,2023,209,-0.95%
KS,2024,223,6.70%
KS,2025,264,18.39%
KY,2019,728,-4.46%
KY,2020,557,-23.49%
KY,2021,447,-19.75%
KY,2022,441,-1.34%
KY,2023,411,-6.80%
KY,2024,443,7.79%
KY,2025,502,13.32%
LA,2019,1212,-3.81%
LA,2020,968,-20.13%
LA,2021,700,-27.69%
LA,2022,657,-6.14%
LA,2023,731,11.26%
LA,2024,849,16.14%
LA,2025,945,11.31%
MA,2019,4003,-0.17%
MA,2020,3126,-21.91%
MA,2021,2548,-18.49%
MA,2022,2353,-7.65%
MA,2023,1935,-17.76%
MA,2024,2121,9.61%
MA,2025,2391,12.73%
MD,2019,2568,-7.69%
MD,2020,1913,-25.51%
MD,2021,1599,-16.41%
MD,2022,1431,-10.51%
MD,2023,1188,-16.98%
MD,2024,1277,7.49%
MD,2025,1468,14.96%
ME,2019,1366,-1.37%
ME,2020,1042,-23.72%
ME,2021,722,-30.71%
ME,2022,610,-15.51%
ME,2023,553,-9.34%
ME,2024,629,13.74%
ME,2025,697,10.81%
MI,2019,1347,-2.04%
MI,2020,1075,-20.19%
MI,2021,903,-16.00%
MI,2022,874,-3.21%
MI,2023,751,-14.07%
MI,2024,764,1.73%
MI,2025,797,4.32%
MN,2019,1018,-5.83%
MN,2020,873,-14.24%
MN,2021,671,-23.14%
MN,2022,616,-8.20%
MN,2023,539,-12.50%
MN,2024,593,10.02%
MN,2025,635,7.08%
MO,2019,1349,-12.17%
MO,2020,1063,-21.20%
MO,2021,843,-20.70%
MO,2022,789,-6.41%
MO,2023,731,-7.35%
MO,2024,784,7.25%
MO,2025,858,9.44%
MS,2019,539,-5.27%
MS,2020,443,-17.81%
MS,2021,312,-29.57%
MS,2022,290,-7.05%
MS,2023,313,7.93%
MS,2024,351,12.14%
MS,2025,377,7.41%
MT,2019,753,-4.68%
MT,2020,564,-25.10%
MT,2021,377,-33.16%
MT,2022,401,6.37%
MT,2023,482,20.20%
MT,2024,572,18.67%
MT,2025,586,2.45%
NC,2019,1182,-10.93%
NC,2020,912,-22.84%
NC,2021,751,-17.65%
NC,2022,778,3.60%
NC,2023,774,-0.51%
NC,2024,881,13.82%
NC,2025,1069,21.34%
ND,2019,515,-5.33%
ND,2020,429,-16.70%
ND,2021,315,-26.57%
ND,2022,268,-14.92%
ND,2023,241,-10.07%
ND,2024,254,5.39%
ND,2025,249,-1.97%
NE,2019,512,-5.01%
NE,2020,391,-23.63%
NE,2021,330,-15.60%
NE,2022,319,-3.33%
NE,2023,302,-5.33%
NE,2024,333,10.26%
NE,2025,380,14.11%
NH,2019,1086,-3.81%
NH,2020,772,-28.91%
NH,2021,412,-46.63%
NH,2022,362,-12.14%
NH,2023,313,-13.54%
NH,2024,361,15.34%
NH,2025,415,14.96%
NJ,2019,2001,-7.58%
NJ,2020,1482,-25.94%
NJ,2021,1102,-25.64%
NJ,2022,898,-18.51%
NJ,2023,705,-21.49%
NJ,2024,747,5.96%
NJ,2025,853,14.19%
NM,2019,516,-12.69%
NM,2020,403,-21.90%
NM,2021,309,-23.33%
NM,2022,275,-11.00%
NM,2023,269,-2.18%
NM,2024,321,19.33%
NM,2025,375,16.82%
NV,2019,2086,16.41%
NV,2020,1685,-19.22%
NV,2021,1250,-25.82%
NV,2022,1470,17.60%
NV,2023,1285,-12.59%
NV,2024,1308,1.79%
NV,2025,1694,29.51%
NY,2019,4293,-0.95%
NY,2020,3615,-15.79%
NY,2021,3019,-16.49%
NY,2022,2570,-14.87%
NY,2023,2113,-17.78%
NY,2024,1994,-5.63%
NY,2025,2061,3.36%
OH,2019,1067,-8.18%
OH,2020,830,-22.21%
OH,2021,661,-20.36%
OH,2022,629,-4.84%
OH,2023,559,-11.13%
OH,2024,592,5.90%
OH,2025,649,9.63%
OK,2019,880,-13.47%
OK,2020,695,-21.02%
OK,2021,541,-22.16%
OK,2022,554,2.40%
OK,2023,594,7.22%
OK,2024,675,13.64%
OK,2025,747,10.67%
OR,2019,1059,-8.31%
OR,2020,813,-23.23%
OR,2021,660,-18.82%
OR,2022,711,7.73%
OR,2023,687,-3.38%
OR,2024,783,13.97%
OR,2025,863,10.22%
PA,2019,1754,-10.69%
PA,2020,1316,-24.97%
PA,2021,1071,-18.62%
PA,2022,972,-9.24%
PA,2023,847,-12.86%
PA,2024,872,2.95%
PA,2025,937,7.45%
RI,2019,6700,-5.14%
RI,2020,5077,-24.22%
RI,2021,3442,-32.20%
RI,2022,2952,-14.24%
RI,2023,2377,-19.48%
