state,inventory_growth_pct,rent_growth_pct,correlation_coef
CT,214.17,60.83,-0.059
NH,172.05,60.74,-0.059
VT,156.99,1.64,-0.059
NJ,153.81,46.32,-0.059
RI,147.65,65.25,-0.059
WV,145.34,12.87,-0.059
IL,120.47,26.79,-0.059
ND,118.47,23.1,-0.059
AK,112.89,50.33,-0.059
NY,110.29,25.34,-0.059
PA,109.61,32.72,-0.059
ME,98.71,58.32,-0.059
MD,89.51,38.1,-0.059
DE,83.7,53.64,-0.059
WI,80.57,19.42,-0.059
OH,79.04,40.1,-0.059
MO,79.02,29.38,-0.059
VA,73.6,33.0,-0.059
MI,72.52,38.21,-0.059
IA,71.85,11.35,-0.059
MN,70.24,15.62,-0.059
MA,67.71,43.36,-0.059
WY,61.21,68.0,-0.059
KS,60.98,25.88,-0.059
NM,57.6,66.47,-0.059
KY,51.79,24.72,-0.059
AL,51.54,40.29,-0.059
MS,50.93,39.89,-0.059
SD,42.74,32.77,-0.059
NE,41.84,31.73,-0.059
IN,39.17,31.48,-0.059
AR,38.28,29.79,-0.059
OK,36.14,29.14,-0.059
MT,34.81,94.38,-0.059
OR,33.84,31.99,-0.059
LA,33.33,13.4,-0.059
SC,33.07,38.4,-0.059
ID,32.18,58.86,-0.059
NC,24.13,43.41,-0.059
WA,24.1,33.07,-0.059
CA,21.32,30.52,-0.059
FL,18.65,54.67,-0.059
UT,10.96,53.94,-0.059
HI,10.45,37.95,-0.059
AZ,10.28,45.25,-0.059
TX,10.13,28.91,-0.059
GA,9.54,50.52,-0.059
TN,8.52,44.25,-0.059
CO,7.94,65.61,-0.059
NV,5.79,38.56,-0.059
