state,inventory_growth_pct,home_value_growth_pct,correlation_coef
CT,214.17,62.79,-0.11
NH,172.05,90.02,-0.11
VT,156.99,49.2,-0.11
NJ,153.81,61.09,-0.11
RI,147.65,72.84,-0.11
WV,145.34,26.86,-0.11
IL,120.47,32.98,-0.11
ND,118.47,18.03,-0.11
AK,112.89,30.28,-0.11
NY,110.29,41.8,-0.11
PA,109.61,45.28,-0.11
ME,98.71,76.83,-0.11
MD,89.51,40.76,-0.11
DE,83.7,51.09,-0.11
WI,80.57,61.01,-0.11
OH,79.04,62.47,-0.11
MO,79.02,60.16,-0.11
VA,73.6,47.59,-0.11
MI,72.52,57.15,-0.11
IA,71.85,42.22,-0.11
MN,70.24,47.13,-0.11
MA,67.71,52.89,-0.11
WY,61.21,63.72,-0.11
KS,60.98,64.91,-0.11
NM,57.6,50.23,-0.11
KY,51.79,60.16,-0.11
AL,51.54,48.62,-0.11
MS,50.93,23.73,-0.11
SD,42.74,59.65,-0.11
NE,41.84,58.14,-0.11
IN,39.17,70.37,-0.11
AR,38.28,45.42,-0.11
OK,36.14,59.17,-0.11
MT,34.81,85.92,-0.11
OR,33.84,50.03,-0.11
LA,33.33,9.3,-0.11
SC,33.07,61.54,-0.11
ID,32.18,93.45,-0.11
NC,24.13,69.58,-0.11
WA,24.1,59.94,-0.11
CA,21.32,38.72,-0.11
FL,18.65,70.69,-0.11
UT,10.96,66.76,-0.11
HI,10.45,49.28,-0.11
AZ,10.28,71.63,-0.11
TX,10.13,43.11,-0.11
GA,9.54,63.43,-0.11
TN,8.52,68.74,-0.11
CO,7.94,55.74,-0.11
NV,5.79,57.5,-0.11
